epoch,learning_rate,train_loss,train_teacher_term,val_rmse,val_mae,val_dry_rmse,seconds,member,seed
1,0.001,0.015127459898834699,0.0,0.19994791520487437,0.16059430195671168,0.14788281393297092,2.04,0,42
2,0.0009996244636829683,0.0089185664108557,0.0,0.17094413773406644,0.13764029293421917,0.19289554309587098,0.688,0,42
3,0.0009984984485319804,0.007882966146950492,0.0,0.1760793762431608,0.13559693824737126,0.15154241294797377,0.689,0,42
4,0.0009966237350084372,0.007248259584457977,0.0,0.16394665621368903,0.12857580883131856,0.1524002350822405,0.681,0,42
5,0.0009940032874197584,0.007023948204775489,0.0,0.16734496298082407,0.13610168003661047,0.1463540770068674,0.69,0,42
6,0.0009906412492322022,0.0066916365999734155,0.0,0.1715626951646409,0.1358815178476796,0.11829083190420613,0.679,0,42
7,0.0009865429365191946,0.00649187764782015,0.0,0.1630506535811302,0.1306540366013054,0.1553477561584873,0.675,0,42
8,0.0009817148295555246,0.006801028850150005,0.0,0.18306714701376373,0.14305967513092194,0.10851808143732754,0.674,0,42
9,0.0009761645625706968,0.006369275067812503,0.0,0.1766347636749628,0.13662453255005133,0.09810805454755199,0.677,0,42
10,0.0009699009116776458,0.006423709337068003,0.0,0.16502496452375087,0.12960023701689236,0.12823050074242182,0.673,0,42
11,0.0009629337809958982,0.006552380212955272,0.0,0.16651331529615476,0.13130852352875244,0.12962085012470093,0.675,0,42
12,0.0009552741869911235,0.00622373811023069,0.0,0.15960860981266564,0.12437851369309767,0.12133945443317723,0.688,0,42
13,0.0009469342410558377,0.006289679231336288,0.0,0.16939424028964908,0.13259047653620978,0.12260042001297597,0.681,0,42
14,0.0009379271303588018,0.005962707602462265,0.0,0.17832405769693638,0.13751956606343105,0.09801100986658712,0.676,0,42
15,0.000928267096993398,0.005993095469767181,0.0,0.17556499890036464,0.14012295442520623,0.1301205506916327,0.676,0,42
16,0.0009179694154579523,0.0060175313039906,0.0,0.17152426770432122,0.13208259889488197,0.09584850505567145,0.676,0,42
17,0.0009070503685036133,0.005951227652366803,0.0,0.1795207848656397,0.13748777494617517,0.10056916637736679,0.718,0,42
18,0.0008955272213879758,0.006111074824839846,0.0,0.16392970131243664,0.12807613756555092,0.1098590223168432,0.697,0,42
19,0.0008834181945751593,0.005879551475400302,0.0,0.1675380111795438,0.13274404760687405,0.13768994293766124,0.698,0,42
20,0.0008707424349255098,0.005865972903383421,0.0,0.16506733294588527,0.12678268646145133,0.10057333682776705,0.684,0,42
21,0.000857519985420477,0.00572319431149524,0.0,0.16548942888282572,0.130898957615303,0.12925704864751325,0.676,0,42
22,0.0008437717534705426,0.005754634340121908,0.0,0.16734822752992012,0.13021748492221355,0.13319930233674887,0.694,0,42
23,0.0008295194778563046,0.005780651234566221,0.0,0.17499912387429628,0.13651844184655862,0.1361442061242144,0.743,0,42
24,0.0008147856943549991,0.005800350805231516,0.0,0.16754494514366533,0.1316587060844158,0.11975352722600063,0.707,0,42
